,filename_left,filename_right
3250514,ATL04_20190930225055_00620501_006_04.h5,MOD06_L2.A2019273.1540.061.2019275191425.hdf
3250595,ATL04_20190925232455_13730401_006_02.h5,MOD06_L2.A2019268.1205.061.2019269012459.hdf
3250890,ATL04_20190924235034_13580401_006_02.h5,MOD06_L2.A2019269.1250.061.2019270013552.hdf
3251087,ATL04_20190926040747_13760401_006_02.h5,MOD06_L2.A2019272.1320.061.2019275185037.hdf
3251315,ATL04_20190926005912_13740401_006_02.h5,MOD06_L2.A2019269.1425.061.2019270012302.hdf
3251400,ATL04_20190930005052_00480501_006_02.h5,MOD06_L2.A2019267.1440.061.2019268013127.hdf
3251928,ATL04_20190924015030_13440401_006_02.h5,MOD06_L2.A2019268.1525.061.2019269013254.hdf
3251967,ATL04_20190924080740_13480401_006_02.h5,MOD06_L2.A2019268.1840.061.2019269073048.hdf
3251976,ATL04_20190926085039_13790401_006_02.h5,MOD06_L2.A2019267.1755.061.2019268012514.hdf
3252080,ATL04_20190925091618_13640401_006_02.h5,MOD06_L2.A2019269.1925.061.2019270073633.hdf
3252337,ATL04_20190924094157_13490401_006_02.h5,MOD06_L2.A2019267.1935.061.2019268072222.hdf
3252778,ATL04_20190926102456_13800401_006_02.h5,MOD06_L2.A2019269.2105.061.2019270073929.hdf
3252840,ATL04_20190930101636_00540501_006_02.h5,MOD06_L2.A2019269.1745.061.2019270012820.hdf
3253061,ATL04_20190925105036_13650401_006_02.h5,MOD06_L2.A2019268.2200.061.2019269073155.hdf
3253190,ATL04_20190924111615_13500401_006_02.h5,MOD06_L2.A2019273.2215.061.2019275191706.hdf
3253412,ATL04_20190926115914_13810401_006_02.h5,MOD06_L2.A2019272.2315.061.2019275190210.hdf
3253567,ATL04_20190925122453_13660401_006_02.h5,MOD06_L2.A2019268.2340.061.2019269073558.hdf
3253889,ATL04_20190924125032_13510401_006_02.h5,MOD06_L2.A2019273.1720.061.2019275191727.hdf
3254085,ATL04_20190925135910_13670401_006_02.h5,MOD06_L2.A2019267.0130.061.2019267133448.hdf
3254377,ATL04_20190924142449_13520401_006_02.h5,MOD06_L2.A2019268.1700.061.2019269012246.hdf
3256779,ATL04_20190929152507_00420501_006_02.h5,MOD06_L2.A2019267.0310.061.2019267133425.hdf
3263190,ATL04_20190925170745_13690401_006_02.h5,MOD06_L2.A2019273.0425.061.2019275192206.hdf
3271152,ATL04_20190926164206_13840401_006_02.h5,MOD06_L2.A2019267.1900.061.2019268071841.hdf
3271627,ATL04_20190930163345_00580501_006_02.h5,MOD06_L2.A2019267.0345.061.2019267133659.hdf
3273412,ATL04_20190929165925_00430501_006_02.h5,MOD06_L2.A2019267.2030.061.2019268071657.hdf
3275200,ATL04_20190924173324_13540401_006_02.h5,MOD06_L2.A2019267.2345.061.2019268071927.hdf
3287153,ATL04_20190926133331_13820401_006_02.h5,MOD06_L2.A2019269.0750.061.2019269202952.hdf
3290373,ATL04_20190930022509_00490501_006_02.h5,MOD06_L2.A2019273.0905.061.2019275191145.hdf
3290488,ATL04_20190925025908_13600401_006_02.h5,MOD06_L2.A2019268.1345.061.2019269012823.hdf
3290521,ATL04_20190929025048_00340501_006_02.h5,MOD06_L2.A2019273.1405.061.2019275192039.hdf
3291545,ATL04_20190930053344_00510501_006_02.h5,MOD06_L2.A2019268.0845.061.2019268192355.hdf
3323252,ATL04_20190926071622_13780401_006_02.h5,MOD06_L2.A2019272.1955.061.2019275185040.hdf
3325680,ATL04_20190930180803_00590501_006_02.h5,MOD06_L2.A2019269.0115.061.2019269202945.hdf
3325775,ATL04_20190925184202_13700401_006_02.h5,MOD06_L2.A2019268.0530.061.2019268132647.hdf
5093066,ATL04_20190409074025_01690301_006_02.h5,MOD06_L2.A2019105.1020.061.2019105235006.hdf
5095926,ATL04_20190412185745_02220301_006_02.h5,MOD06_L2.A2019104.2340.061.2019105232238.hdf
5100414,ATL04_20190409201444_01770301_006_02.h5,MOD06_L2.A2019102.1110.061.2019105205929.hdf
5102282,ATL04_20190409214901_01780301_006_02.h5,MOD06_L2.A2019103.0150.061.2019105225218.hdf
5102713,ATL04_20190412220619_02240301_006_02.h5,MOD06_L2.A2019102.1105.061.2019105210015.hdf
5103176,ATL04_20190415222338_02700301_006_02.h5,MOD06_L2.A2019102.0250.061.2019105204306.hdf
5104153,ATL04_20190409232318_01790301_006_02.h5,MOD06_L2.A2019103.0330.061.2019105225123.hdf
5104456,ATL04_20190412234037_02250301_006_02.h5,MOD06_L2.A2019104.1050.061.2019105232132.hdf
5104753,ATL04_20190414070624_02450301_006_02.h5,MOD06_L2.A2019100.0440.061.2019100133200.hdf
5105125,ATL04_20190410005736_01800301_006_02.h5,MOD06_L2.A2019103.0510.061.2019105225526.hdf
5105240,ATL04_20190414004915_02410301_006_02.h5,MOD06_L2.A2019101.0525.061.2019101133846.hdf
5105471,ATL04_20190409012315_01650301_006_02.h5,MOD06_L2.A2019104.0555.061.2019105232354.hdf
5105629,ATL04_20190412014034_02110301_006_02.h5,MOD06_L2.A2019102.0605.061.2019105204825.hdf
5105897,ATL04_20190410071445_01840301_006_02.h5,MOD06_L2.A2019101.1020.061.2019101195529.hdf
5105974,ATL04_20190415015752_02570301_006_02.h5,MOD06_L2.A2019103.0650.061.2019105230746.hdf
5106071,ATL04_20190409025733_01660301_006_02.h5,MOD06_L2.A2019104.0735.061.2019105232644.hdf
5106573,ATL04_20190412031451_02120301_006_02.h5,MOD06_L2.A2019100.0935.061.2019100192451.hdf
5106642,ATL04_20190412075743_02150301_006_02.h5,MOD06_L2.A2019099.1035.061.2019099195345.hdf
5106881,ATL04_20190411034031_01970301_006_02.h5,MOD06_L2.A2019099.0855.061.2019099195214.hdf
5107424,ATL04_20190414035749_02430301_006_02.h5,MOD06_L2.A2019104.0910.061.2019105232130.hdf
5108082,ATL04_20190409091442_01700301_006_02.h5,MOD06_L2.A2019100.1255.061.2019101013117.hdf
5108149,ATL04_20190411113158_02020301_006_02.h5,MOD06_L2.A2019102.1240.061.2019105204906.hdf
5108883,ATL04_20190414114916_02480301_006_02.h5,MOD06_L2.A2019101.1340.061.2019102014305.hdf
5109268,ATL04_20190409122317_01720301_006_02.h5,MOD06_L2.A2019105.1450.061.2019106022617.hdf
5110105,ATL04_20190412124035_02180301_006_02.h5,MOD06_L2.A2019101.1515.061.2019102013016.hdf
5110396,ATL04_20190411130615_02030301_006_02.h5,MOD06_L2.A2019104.1230.061.2019105232954.hdf
5110591,ATL04_20190410133155_01880301_006_02.h5,MOD06_L2.A2019101.1200.061.2019102014034.hdf
5111081,ATL04_20190409135734_01730301_006_02.h5,MOD06_L2.A2019103.1645.061.2019105230439.hdf
5111162,ATL04_20190413134913_02340301_006_02.h5,MOD06_L2.A2019101.1655.061.2019102013040.hdf
5111398,ATL04_20190412141453_02190301_006_02.h5,MOD06_L2.A2019104.1725.061.2019105232616.hdf
5111664,ATL04_20190411144033_02040301_006_02.h5,MOD06_L2.A2019100.1750.061.2019101012537.hdf
5111928,ATL04_20190410150612_01890301_006_02.h5,MOD06_L2.A2019103.1145.061.2019105225535.hdf
5112315,ATL04_20190413152331_02350301_006_02.h5,MOD06_L2.A2019099.1850.061.2019100073408.hdf
5114349,ATL04_20190412172328_02210301_006_02.h5,MOD06_L2.A2019102.2100.061.2019105205729.hdf
5117171,ATL04_20190410194904_01920301_006_02.h5,MOD06_L2.A2019099.1200.061.2019100014151.hdf
5123950,ATL04_20190411192325_02070301_006_02.h5,MOD06_L2.A2019101.2230.061.2019102074133.hdf
5126247,ATL04_20190414194043_02530301_006_02.h5,MOD06_L2.A2019102.2140.061.2019105213413.hdf
5133717,ATL04_20190415191503_02680301_006_02.h5,MOD06_L2.A2019105.0235.061.2019105232459.hdf
5152835,ATL04_20190411174907_02060301_006_02.h5,MOD06_L2.A2019101.0205.061.2019101133451.hdf
5153000,ATL04_20190410181447_01910301_006_02.h5,MOD06_L2.A2019105.0140.061.2019105233529.hdf
5153079,ATL04_20190409184026_01760301_006_02.h5,MOD06_L2.A2019103.2320.061.2019105230402.hdf
5156757,ATL04_20190411051449_01980301_006_02.h5,MOD06_L2.A2019101.0345.061.2019101133611.hdf
5157086,ATL04_20190410054028_01830301_006_02.h5,MOD06_L2.A2019103.0830.061.2019105230223.hdf
5157356,ATL04_20190409060608_01680301_006_02.h5,MOD06_L2.A2019104.0915.061.2019105233236.hdf
5157743,ATL04_20190412062326_02140301_006_02.h5,MOD06_L2.A2019100.0940.061.2019100193156.hdf
5160289,ATL04_20190413090621_02310301_006_02.h5,MOD06_L2.A2019102.1245.061.2019105210231.hdf
5208818,ATL04_20190412203202_02230301_006_02.h5,MOD06_L2.A2019105.1630.061.2019106023016.hdf
5209220,ATL04_20190415204920_02690301_006_02.h5,MOD06_L2.A2019101.0030.061.2019101133522.hdf
5245693,ATL04_20190412093201_02160301_006_02.h5,MOD06_L2.A2019099.1350.061.2019100015243.hdf
5246023,ATL04_20190411095740_02010301_006_02.h5,MOD06_L2.A2019101.2015.061.2019102073130.hdf
5246300,ATL04_20190410102320_01860301_006_02.h5,MOD06_L2.A2019103.2000.061.2019105230438.hdf
8713604,ATL04_20190806180437_06060401_006_02.h5,MOD06_L2.A2019220.0235.061.2019220134319.hdf
8718184,ATL04_20190810083033_06610401_006_02.h5,MOD06_L2.A2019222.1825.061.2019223073151.hdf
8718529,ATL04_20190809085612_06460401_006_02.h5,MOD06_L2.A2019219.0310.061.2019219133849.hdf
8718901,ATL04_20190808092151_06310401_006_02.h5,MOD06_L2.A2019223.1910.061.2019224073929.hdf
8719351,ATL04_20190807094731_06160401_006_02.h5,MOD06_L2.A2019219.1935.061.2019220073601.hdf
8719701,ATL04_20190806101310_06010401_006_02.h5,MOD06_L2.A2019221.0255.061.2019221133857.hdf
8720216,ATL04_20190809103029_06470401_006_02.h5,MOD06_L2.A2019218.2030.061.2019219073133.hdf
8720400,ATL04_20190808105608_06320401_006_02.h5,MOD06_L2.A2019223.0245.061.2019223133650.hdf
8720851,ATL04_20190806114727_06020401_006_02.h5,MOD06_L2.A2019222.2145.061.2019223073343.hdf
8721028,ATL04_20190807173857_06210401_006_02.h5,MOD06_L2.A2019220.0210.061.2019220134345.hdf
8721303,ATL04_20190809182156_06520401_006_02.h5,MOD06_L2.A2019223.2230.061.2019224073648.hdf
8721366,ATL04_20190807125605_06180401_006_02.h5,MOD06_L2.A2019222.2325.061.2019223073633.hdf
8721475,ATL04_20190811124746_06790401_006_02.h5,MOD06_L2.A2019218.2350.061.2019219073337.hdf
8721900,ATL04_20190809133904_06490401_006_02.h5,MOD06_L2.A2019220.0035.061.2019220134849.hdf
8722036,ATL04_20190808140443_06340401_006_02.h5,MOD06_L2.A2019223.0105.061.2019223133845.hdf
8722611,ATL04_20190807143023_06190401_006_02.h5,MOD06_L2.A2019221.0115.061.2019221133601.hdf
8723395,ATL04_20190812183916_06980401_006_02.h5,MOD06_L2.A2019219.0130.061.2019219133932.hdf
8723401,ATL04_20190806145602_06040401_006_02.h5,MOD06_L2.A2019224.0145.061.2019224134246.hdf
8723508,ATL04_20190806211312_06080401_006_02.h5,MOD06_L2.A2019219.0445.061.2019219133714.hdf
8723961,ATL04_20190807222149_06240401_006_02.h5,MOD06_L2.A2019221.0435.061.2019221133925.hdf
8724729,ATL04_20190806224729_06090401_006_02.h5,MOD06_L2.A2019218.0540.061.2019218132927.hdf
8724793,ATL04_20190810223909_06700401_006_02.h5,MOD06_L2.A2019224.0645.061.2019224194406.hdf
