,filename_left,filename_right
3594117,ATL04_20210817133248_08391201_006_01.h5,MOD06_L2.A2021228.1055.061.2021228203936.hdf
3594243,ATL04_20210816135826_08241201_006_01.h5,MOD06_L2.A2021228.1730.061.2021229021931.hdf
3594443,ATL04_20210814210655_07981201_006_01.h5,MOD06_L2.A2021230.1715.061.2021231020815.hdf
3594543,ATL04_20210814144945_07941201_006_01.h5,MOD06_L2.A2021225.1200.061.2021226015548.hdf
3595386,ATL04_20210816153244_08251201_006_01.h5,MOD06_L2.A2021225.1700.061.2021226015611.hdf
3595437,ATL04_20210815155823_08101201_006_01.h5,MOD06_L2.A2021227.1330.061.2021228020356.hdf
3595541,ATL04_20210819155004_08711201_006_01.h5,MOD06_L2.A2021227.1645.061.2021228015023.hdf
3595648,ATL04_20210814162403_07951201_006_01.h5,MOD06_L2.A2021230.1400.061.2021231020546.hdf
3595924,ATL04_20210813164942_07801201_006_01.h5,MOD06_L2.A2021228.1550.061.2021229022159.hdf
3596609,ATL04_20210815173240_08111201_006_01.h5,MOD06_L2.A2021230.1540.061.2021231021928.hdf
3597273,ATL04_20210814175820_07961201_006_01.h5,MOD06_L2.A2021231.1620.061.2021232015357.hdf
3597522,ATL04_20210813010648_07701201_006_01.h5,MOD06_L2.A2021229.1950.061.2021230080057.hdf
3597730,ATL04_20210815014947_08011201_006_01.h5,MOD06_L2.A2021227.2005.061.2021228080039.hdf
3597791,ATL04_20210819014128_08621201_006_01.h5,MOD06_L2.A2021228.2045.061.2021229081208.hdf
3598042,ATL04_20210814021526_07861201_006_01.h5,MOD06_L2.A2021228.1910.061.2021229081914.hdf
3598497,ATL04_20210813024105_07711201_006_01.h5,MOD06_L2.A2021230.1855.061.2021231080227.hdf
3599003,ATL04_20210816025825_08171201_006_01.h5,MOD06_L2.A2021228.2225.061.2021229081334.hdf
3599324,ATL04_20210819031545_08631201_006_01.h5,MOD06_L2.A2021229.2310.061.2021230080221.hdf
3599769,ATL04_20210813041523_07721201_006_01.h5,MOD06_L2.A2021229.0005.061.2021229140225.hdf
3600062,ATL04_20210816043242_08181201_006_01.h5,MOD06_L2.A2021225.0030.061.2021225142604.hdf
3600340,ATL04_20210815045822_08031201_006_01.h5,MOD06_L2.A2021225.1835.061.2021226084707.hdf
3600389,ATL04_20210819045003_08641201_006_01.h5,MOD06_L2.A2021228.0100.061.2021228140711.hdf
3600586,ATL04_20210814052401_07881201_006_01.h5,MOD06_L2.A2021231.0130.061.2021231141608.hdf
3600946,ATL04_20210813054940_07731201_006_01.h5,MOD06_L2.A2021227.0155.061.2021227135317.hdf
3601316,ATL04_20210816060700_08191201_006_01.h5,MOD06_L2.A2021230.0230.061.2021230142912.hdf
3601651,ATL04_20210815063239_08041201_006_01.h5,MOD06_L2.A2021226.0255.061.2021226142220.hdf
3602289,ATL04_20210816074117_08201201_006_01.h5,MOD06_L2.A2021230.0410.061.2021230142411.hdf
3602486,ATL04_20210815080656_08051201_006_01.h5,MOD06_L2.A2021226.0435.061.2021226142552.hdf
3615060,ATL04_20210814100653_07911201_006_01.h5,MOD06_L2.A2021230.0135.061.2021230140846.hdf
3615230,ATL04_20210813085815_07751201_006_01.h5,MOD06_L2.A2021225.1250.061.2021226015058.hdf
3615813,ATL04_20210817084956_08361201_006_01.h5,MOD06_L2.A2021231.1350.061.2021232015056.hdf
3618043,ATL04_20210816091534_08211201_006_01.h5,MOD06_L2.A2021230.1620.061.2021231021419.hdf
3620231,ATL04_20210819093255_08671201_006_01.h5,MOD06_L2.A2021230.0825.061.2021230200343.hdf
3621667,ATL04_20210818095835_08521201_006_01.h5,MOD06_L2.A2021231.1830.061.2021232081141.hdf
3627815,ATL04_20210813072357_07741201_006_01.h5,MOD06_L2.A2021231.1305.061.2021232015852.hdf
3628817,ATL04_20210819075837_08661201_006_01.h5,MOD06_L2.A2021227.0510.061.2021227134405.hdf
3629176,ATL04_20210814083236_07901201_006_01.h5,MOD06_L2.A2021230.0545.061.2021230142853.hdf
3630388,ATL04_20210813103232_07761201_006_01.h5,MOD06_L2.A2021228.1235.061.2021229022621.hdf
3630416,ATL04_20210817102413_08371201_006_01.h5,MOD06_L2.A2021231.0805.061.2021231203310.hdf
3630666,ATL04_20210815111531_08071201_006_01.h5,MOD06_L2.A2021225.0845.061.2021225195815.hdf
3631136,ATL04_20210817115831_08381201_006_01.h5,MOD06_L2.A2021227.1150.061.2021227200557.hdf
3632472,ATL04_20210816201536_08281201_006_01.h5,MOD06_L2.A2021229.1455.061.2021230023449.hdf
3633790,ATL04_20210814224112_07991201_006_01.h5,MOD06_L2.A2021227.1825.061.2021228075739.hdf
3633838,ATL04_20210818223254_08601201_006_01.h5,MOD06_L2.A2021229.1815.061.2021230081021.hdf
3635024,ATL04_20210814004109_07851201_006_01.h5,MOD06_L2.A2021228.2050.061.2021229082211.hdf
3658864,ATL04_20210813182359_07811201_006_01.h5,MOD06_L2.A2021225.1405.061.2021226020917.hdf
3664687,ATL04_20210817181540_08421201_006_01.h5,MOD06_L2.A2021231.1445.061.2021232020118.hdf
3669472,ATL04_20210819185839_08731201_006_01.h5,MOD06_L2.A2021229.1315.061.2021230024557.hdf
3688069,ATL04_20210814065818_07891201_006_01.h5,MOD06_L2.A2021229.2220.061.2021230075027.hdf
3695774,ATL04_20210818065000_08501201_006_01.h5,MOD06_L2.A2021225.0500.061.2021225141326.hdf
3753470,ATL04_20210813195816_07821201_006_01.h5,MOD06_L2.A2021228.0915.061.2021228203918.hdf
6716751,ATL04_20211001051826_01341301_006_01.h5,MOD06_L2.A2021274.0315.061.2021276165332.hdf
6719797,ATL04_20211005174427_02031301_006_01.h5,MOD06_L2.A2021280.0355.061.2021280135345.hdf
6721195,ATL04_20211007182726_02341301_006_01.h5,MOD06_L2.A2021279.1755.061.2021280032920.hdf
6722993,ATL04_20211003201004_01741301_006_01.h5,MOD06_L2.A2021279.1935.061.2021280074730.hdf
6723527,ATL04_20211001210121_01441301_006_01.h5,MOD06_L2.A2021280.2020.061.2021281073516.hdf
6723617,ATL04_20211005205302_02051301_006_01.h5,MOD06_L2.A2021278.2035.061.2021279074140.hdf
6723860,ATL04_20211004211842_01901301_006_01.h5,MOD06_L2.A2021274.2055.061.2021276162647.hdf
6723979,ATL04_20211003214422_01751301_006_01.h5,MOD06_L2.A2021275.0335.061.2021276031337.hdf
6724016,ATL04_20211007213601_02361301_006_01.h5,MOD06_L2.A2021279.2115.061.2021280074515.hdf
6724267,ATL04_20211006044429_02101301_006_01.h5,MOD06_L2.A2021277.0320.061.2021277161116.hdf
6724788,ATL04_20211004225300_01911301_006_01.h5,MOD06_L2.A2021274.2235.061.2021276162803.hdf
6724889,ATL04_20211002045248_01491301_006_01.h5,MOD06_L2.A2021279.0310.061.2021279134139.hdf
