,filename_left,filename_right
3622347,ATL04_20201203101657_10730901_006_01.h5,MOD06_L2.A2020341.1940.061.2021268015549.hdf
3622477,ATL04_20201202104237_10580901_006_01.h5,MOD06_L2.A2020337.2005.061.2021268012336.hdf
3622898,ATL04_20201205105956_11040901_006_01.h5,MOD06_L2.A2020337.2145.061.2021268012500.hdf
3623425,ATL04_20201208111716_11500901_006_01.h5,MOD06_L2.A2020341.2120.061.2021268015633.hdf
3624098,ATL04_20201202121654_10590901_006_01.h5,MOD06_L2.A2020342.2205.061.2021268020612.hdf
3624126,ATL04_20201202183403_10630901_006_01.h5,MOD06_L2.A2020339.0145.061.2021268013259.hdf
3624151,ATL04_20201204191702_10940901_006_01.h5,MOD06_L2.A2020341.0135.061.2021268015136.hdf
3624314,ATL04_20201203194241_10790901_006_01.h5,MOD06_L2.A2020340.0230.061.2021268014206.hdf
3625007,ATL04_20201202200821_10640901_006_01.h5,MOD06_L2.A2020338.0105.061.2021268012435.hdf
3625447,ATL04_20201205202540_11100901_006_01.h5,MOD06_L2.A2020337.0340.061.2021268011753.hdf
3625762,ATL04_20201204205120_10950901_006_01.h5,MOD06_L2.A2020340.0050.061.2021268014120.hdf
3625964,ATL04_20201203211659_10800901_006_01.h5,MOD06_L2.A2020342.0040.061.2021268015732.hdf
3626233,ATL04_20201202214238_10650901_006_01.h5,MOD06_L2.A2020337.0515.061.2021268011815.hdf
3626543,ATL04_20201205215958_11110901_006_01.h5,MOD06_L2.A2020338.0600.061.2021268012503.hdf
3626861,ATL04_20201204222537_10960901_006_01.h5,MOD06_L2.A2020341.0630.061.2021268015035.hdf
3627161,ATL04_20201203225116_10810901_006_01.h5,MOD06_L2.A2020337.0655.061.2021268011833.hdf
3627439,ATL04_20201202231656_10660901_006_01.h5,MOD06_L2.A2020337.0020.061.2021268011700.hdf
3630264,ATL04_20201206024250_11140901_006_01.h5,MOD06_L2.A2020337.0015.061.2021268011753.hdf
3633606,ATL04_20201202025110_10530901_006_01.h5,MOD06_L2.A2020339.0120.061.2021268013326.hdf
3635730,ATL04_20201205030829_10990901_006_01.h5,MOD06_L2.A2020342.1110.061.2021268022508.hdf
3637569,ATL04_20201208032549_11450901_006_01.h5,MOD06_L2.A2020338.1000.061.2021268014659.hdf
3639623,ATL04_20201203035947_10690901_006_01.h5,MOD06_L2.A2020338.0650.061.2021268013340.hdf
3644378,ATL04_20201202135111_10600901_006_01.h5,MOD06_L2.A2020341.2140.061.2021268022530.hdf
3648913,ATL04_20201206134252_11210901_006_01.h5,MOD06_L2.A2020341.1305.061.2021268015346.hdf
3649122,ATL04_20201202042527_10540901_006_01.h5,MOD06_L2.A2020339.1315.061.2021268013639.hdf
3651227,ATL04_20201203132532_10750901_006_01.h5,MOD06_L2.A2020341.1625.061.2021268015436.hdf
3652202,ATL04_20201204125953_10900901_006_01.h5,MOD06_L2.A2020337.1830.061.2021268012412.hdf
3653918,ATL04_20201202165946_10620901_006_01.h5,MOD06_L2.A2020339.0010.061.2021268013355.hdf
3660935,ATL04_20201204015951_10830901_006_01.h5,MOD06_L2.A2020341.1005.061.2021268021806.hdf
3666562,ATL04_20201207021710_11290901_006_01.h5,MOD06_L2.A2020342.2320.061.2021268020548.hdf
3672347,ATL04_20201203022530_10680901_006_01.h5,MOD06_L2.A2020341.0540.061.2021268015609.hdf
3672402,ATL04_20201202011652_10520901_006_01.h5,MOD06_L2.A2020341.1715.061.2021268020646.hdf
3672927,ATL04_20201206010833_11130901_006_01.h5,MOD06_L2.A2020341.1535.061.2021268020323.hdf
3697017,ATL04_20201205123414_11050901_006_01.h5,MOD06_L2.A2020339.1320.061.2021268013652.hdf
3754567,ATL04_20201205013412_10980901_006_01.h5,MOD06_L2.A2020342.1030.061.2021268020045.hdf
3756272,ATL04_20201203053405_10700901_006_01.h5,MOD06_L2.A2020337.1510.061.2021268012333.hdf
6158047,ATL04_20200701024147_00880801_006_01.h5,MOD06_L2.A2020189.0250.061.2020189133409.hdf
6163324,ATL04_20200701165023_00970801_006_01.h5,MOD06_L2.A2020186.0335.061.2020186133402.hdf
6165265,ATL04_20200705181619_01590801_006_01.h5,MOD06_L2.A2020188.0320.061.2020188132725.hdf
6165795,ATL04_20200706020743_01640801_006_01.h5,MOD06_L2.A2020183.2110.061.2020184074214.hdf
6165925,ATL04_20200702193318_01140801_006_01.h5,MOD06_L2.A2020188.2125.061.2020189073115.hdf
6166211,ATL04_20200702021607_01030801_006_01.h5,MOD06_L2.A2020183.0300.061.2020183133557.hdf
6166641,ATL04_20200703204156_01300801_006_01.h5,MOD06_L2.A2020185.0250.061.2020185134120.hdf
6166744,ATL04_20200707203335_01910801_006_01.h5,MOD06_L2.A2020183.2245.061.2020184074216.hdf
6166867,ATL04_20200702210735_01150801_006_01.h5,MOD06_L2.A2020187.0235.061.2020187132955.hdf
6167317,ATL04_20200701213315_01000801_006_01.h5,MOD06_L2.A2020189.0225.061.2020189132929.hdf
6167815,ATL04_20200703221613_01310801_006_01.h5,MOD06_L2.A2020184.0025.061.2020184134103.hdf
6168529,ATL04_20200706223328_01770801_006_01.h5,MOD06_L2.A2020184.0205.061.2020184133941.hdf
6169308,ATL04_20200703032445_01190801_006_01.h5,MOD06_L2.A2020183.0120.061.2020183133611.hdf
6169436,ATL04_20200701055021_00900801_006_01.h5,MOD06_L2.A2020186.0510.061.2020186133200.hdf
6169479,ATL04_20200703063320_01210801_006_01.h5,MOD06_L2.A2020189.0540.061.2020189132710.hdf
6169536,ATL04_20200707062458_01820801_006_01.h5,MOD06_L2.A2020188.0500.061.2020188132754.hdf
6169670,ATL04_20200702065859_01060801_006_01.h5,MOD06_L2.A2020183.0440.061.2020183133649.hdf
6170216,ATL04_20200701072439_00910801_006_01.h5,MOD06_L2.A2020187.0735.061.2020187194010.hdf
6170453,ATL04_20200704074157_01370801_006_01.h5,MOD06_L2.A2020185.0425.061.2020185133926.hdf
6170726,ATL04_20200706082453_01680801_006_01.h5,MOD06_L2.A2020188.0815.061.2020188195907.hdf
6171518,ATL04_20200701085856_00920801_006_01.h5,MOD06_L2.A2020185.0925.061.2020185194003.hdf
6171938,ATL04_20200703094154_01230801_006_01.h5,MOD06_L2.A2020187.0415.061.2020187132906.hdf
6172567,ATL04_20200705102452_01540801_006_01.h5,MOD06_L2.A2020183.1115.061.2020183193747.hdf
6174330,ATL04_20200704122449_01400801_006_01.h5,MOD06_L2.A2020186.1325.061.2020187013200.hdf
6185009,ATL04_20200706144202_01720801_006_01.h5,MOD06_L2.A2020186.0745.061.2020186191732.hdf
6186897,ATL04_20200701151606_00960801_006_01.h5,MOD06_L2.A2020188.1045.061.2020188195254.hdf
6187483,ATL04_20200704135906_01410801_006_01.h5,MOD06_L2.A2020183.2335.061.2020184073130.hdf
6189885,ATL04_20200703142446_01260801_006_01.h5,MOD06_L2.A2020188.1905.061.2020189071625.hdf
6194715,ATL04_20200701041604_00890801_006_01.h5,MOD06_L2.A2020188.1745.061.2020189021657.hdf
6202000,ATL04_20200706051618_01660801_006_01.h5,MOD06_L2.A2020187.0055.061.2020187132954.hdf
6202212,ATL04_20200702052442_01050801_006_01.h5,MOD06_L2.A2020185.0605.061.2020185193739.hdf
6202336,ATL04_20200703235030_01320801_006_01.h5,MOD06_L2.A2020187.0555.061.2020187135416.hdf
6203421,ATL04_20200703045902_01200801_006_01.h5,MOD06_L2.A2020186.0330.061.2020186133406.hdf
6207070,ATL04_20200701120731_00940801_006_01.h5,MOD06_L2.A2020185.1245.061.2020186013702.hdf
6207568,ATL04_20200707124207_01860801_006_01.h5,MOD06_L2.A2020187.0730.061.2020187193616.hdf
6207848,ATL04_20200702131609_01100801_006_01.h5,MOD06_L2.A2020189.1355.061.2020190014252.hdf
6207973,ATL04_20200701134148_00950801_006_01.h5,MOD06_L2.A2020185.1420.061.2020186013646.hdf
6208003,ATL04_20200705133327_01560801_006_01.h5,MOD06_L2.A2020189.0720.061.2020189193019.hdf
6209904,ATL04_20200705150744_01570801_006_01.h5,MOD06_L2.A2020183.1615.061.2020184013805.hdf
6240141,ATL04_20200707155042_01880801_006_01.h5,MOD06_L2.A2020189.1535.061.2020190014032.hdf
6277000,ATL04_20200702162443_01120801_006_01.h5,MOD06_L2.A2020186.0155.061.2020186133235.hdf
6318556,ATL04_20200706034201_01650801_006_01.h5,MOD06_L2.A2020183.1255.061.2020184014256.hdf
9124496,ATL04_20200729062622_05180801_006_01.h5,MOD06_L2.A2020217.0805.061.2020217194417.hdf
9125677,ATL04_20200731194339_05570801_006_01.h5,MOD06_L2.A2020216.0845.061.2020216195446.hdf
9128156,ATL04_20200730214336_05430801_006_01.h5,MOD06_L2.A2020214.0040.061.2020214134257.hdf
9128392,ATL04_20200729220915_05280801_006_01.h5,MOD06_L2.A2020217.0110.061.2020217134313.hdf
9128641,ATL04_20200801222634_05740801_006_01.h5,MOD06_L2.A2020213.0135.061.2020213133213.hdf
9128790,ATL04_20200731225214_05590801_006_01.h5,MOD06_L2.A2020216.0205.061.2020216134616.hdf
9128924,ATL04_20200730231753_05440801_006_01.h5,MOD06_L2.A2020214.0215.061.2020214133757.hdf
9129031,ATL04_20200729234333_05290801_006_01.h5,MOD06_L2.A2020217.0250.061.2020217135858.hdf
9129054,ATL04_20200730060042_05330801_006_01.h5,MOD06_L2.A2020215.0300.061.2020215133632.hdf
9129159,ATL04_20200729000912_05140801_006_01.h5,MOD06_L2.A2020213.0315.061.2020213133955.hdf
9129287,ATL04_20200801002631_05600801_006_01.h5,MOD06_L2.A2020216.0345.061.2020216135115.hdf
9129459,ATL04_20200731005211_05450801_006_01.h5,MOD06_L2.A2020217.0745.061.2020217194748.hdf
9129592,ATL04_20200801064341_05640801_006_01.h5,MOD06_L2.A2020214.0355.061.2020214134114.hdf
9129730,ATL04_20200802013509_05760801_006_01.h5,MOD06_L2.A2020214.0715.061.2020214194059.hdf
9129740,ATL04_20200731053503_05480801_006_01.h5,MOD06_L2.A2020216.0700.061.2020216195142.hdf
9131177,ATL04_20200729093456_05200801_006_01.h5,MOD06_L2.A2020214.1030.061.2020214193343.hdf
9131268,ATL04_20200731101755_05510801_006_01.h5,MOD06_L2.A2020216.1020.061.2020216195312.hdf
9131536,ATL04_20200803103514_05970801_006_01.h5,MOD06_L2.A2020216.1200.061.2020217020541.hdf
9131677,ATL04_20200729110914_05210801_006_01.h5,MOD06_L2.A2020214.1210.061.2020215014029.hdf
9132585,ATL04_20200731115212_05520801_006_01.h5,MOD06_L2.A2020216.1340.061.2020217020255.hdf
9132652,ATL04_20200730121751_05370801_006_01.h5,MOD06_L2.A2020214.1350.061.2020215014106.hdf
9132771,ATL04_20200803120931_05980801_006_01.h5,MOD06_L2.A2020217.0925.061.2020217195024.hdf
9133390,ATL04_20200804131809_06140801_006_01.h5,MOD06_L2.A2020214.1530.061.2020215013756.hdf
9138251,ATL04_20200804180101_06170801_006_01.h5,MOD06_L2.A2020216.1120.061.2020216193656.hdf
9140013,ATL04_20200729190041_05260801_006_01.h5,MOD06_L2.A2020216.1605.061.2020217014901.hdf
9140474,ATL04_20200801174342_05710801_006_01.h5,MOD06_L2.A2020216.0430.061.2020216133346.hdf
9142544,ATL04_20200731180922_05560801_006_01.h5,MOD06_L2.A2020212.0010.061.2020212131848.hdf
9151487,ATL04_20200730152626_05390801_006_01.h5,MOD06_L2.A2020214.0400.061.2020214134403.hdf
9155004,ATL04_20200801205217_05730801_006_01.h5,MOD06_L2.A2020215.0120.061.2020215133841.hdf
9155889,ATL04_20200730073500_05340801_006_01.h5,MOD06_L2.A2020214.0535.061.2020214134436.hdf
9156173,ATL04_20200802075219_05800801_006_01.h5,MOD06_L2.A2020216.0525.061.2020216135152.hdf
9156463,ATL04_20200731084338_05500801_006_01.h5,MOD06_L2.A2020214.1035.061.2020214194342.hdf
9173268,ATL04_20200803165223_06010801_006_01.h5,MOD06_L2.A2020216.2015.061.2020217074514.hdf
9173352,ATL04_20200729172623_05250801_006_01.h5,MOD06_L2.A2020215.0125.061.2020215134256.hdf
9200216,ATL04_20200803213515_06040801_006_01.h5,MOD06_L2.A2020212.0050.061.2020212133456.hdf
9201956,ATL04_20200804083517_06110801_006_01.h5,MOD06_L2.A2020216.0840.061.2020216195349.hdf
10687948,ATL04_20201014234811_03180901_006_01.h5,MOD06_L2.A2020289.0530.061.2021267185318.hdf
10690349,ATL04_20201018233952_03790901_006_01.h5,MOD06_L2.A2020290.2050.061.2021267185704.hdf
10690373,ATL04_20201017143947_03580901_006_01.h5,MOD06_L2.A2020294.0535.061.2021267192339.hdf
10691180,ATL04_20201014155644_03130901_006_01.h5,MOD06_L2.A2020290.2230.061.2021267185556.hdf
10691633,ATL04_20201016163943_03440901_006_01.h5,MOD06_L2.A2020289.0520.061.2021267184744.hdf
10692266,ATL04_20201015232232_03330901_006_01.h5,MOD06_L2.A2020294.0040.061.2021267192334.hdf
10692556,ATL04_20201016181400_03450901_006_01.h5,MOD06_L2.A2020288.0115.061.2021267183109.hdf
10692795,ATL04_20201014001350_03030901_006_01.h5,MOD06_L2.A2020289.0515.061.2021267184121.hdf
